,КодТовара,Номенклатура,Характеристика,Толщина,КоличествоОстаток
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,290х720,18.00,0.209
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,530х290,18.00,0.154
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,250х490,18.00,0.123
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,420х350,18.00,0.147
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,240х590,18.00,0.142
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,520х260,18.00,0.135
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,250х500,18.00,0.125
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,430х290,18.00,0.125
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,310х590,18.00,0.183
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,320х510,18.00,0.163
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,540х180,18.00,0.097
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,340х590,18.00,0.201
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,280х540,18.00,0.151
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,730х330,18.00,0.241
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,170х590,18.00,0.1
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,200х500,18.00,0.1
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,330х500,18.00,0.165
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,1380х210,18.00,0.29
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,160х660,18.00,0.106
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,200х590,18.00,0.118
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,440х180,18.00,0.158
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,310х440,18.00,0.272
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,350х500,18.00,0.175
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,590х360,18.00,0.212
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,290х600,18.00,0.174
,45767,ДСП SAVIOLA Artlight/Artligh D99 Дуб Ривьера,290х1140,18.00,0.331
,45737,ДСП SAVIOLA Artlight/Artlight D99 Дуб Ривьера,620х270,8.00,0.167
,45737,ДСП SAVIOLA Artlight/Artlight D99 Дуб Ривьера,550х610,8.00,0.336
,45737,ДСП SAVIOLA Artlight/Artlight D99 Дуб Ривьера,560х210,8.00,0.118
,45737,ДСП SAVIOLA Artlight/Artlight D99 Дуб Ривьера,2010х2120,8.00,4.261
,45737,ДСП SAVIOLA Artlight/Artlight D99 Дуб Ривьера,420х190,8.00,0.08
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,2800х1010,18.00,2.828
,45739,ДСП SAVIOLA Artstone/As DA4 Оксид серый,240х1110,8.00,0.266
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,660х590,18.00,0.389
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,210х1050,18.00,0.221
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,2800х1800,18.00,5.04
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,1340х590,18.00,0.791
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,1330х270,18.00,0.359
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,470х660,18.00,0.31
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,2150х990,18.00,2.129
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,260х2120,18.00,0.551
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,1930х300,18.00,0.579
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,420х240,18.00,0.101
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,340х590,18.00,0.201
,45739,ДСП SAVIOLA Artstone/As DA4 Оксид серый,1510х1690,8.00,2.552
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,610х2120,18.00,1.293
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,740х2120,18.00,1.569
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,390х430,18.00,0.168
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,490х480,18.00,0.235
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,2800х1500,18.00,4.2
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,170х1590,18.00,0.27
,45739,ДСП SAVIOLA Artstone/As DA4 Оксид серый,1250х400,8.00,0.5
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,250х590,18.00,0.148
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,440х630,18.00,0.277
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,450х440,18.00,0.198
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,600х540,18.00,0.324
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,160х510,18.00,0.082
,45769,ДСП SAVIOLA Artstone/As DA4 Оксид серый,2800х1460,18.00,4.088
,45770,ДСП SAVIOLA Artstone/As DB2 Эвкалипт серый,680х1520,18.00,1.034
,45770,ДСП SAVIOLA Artstone/As DB2 Эвкалипт серый,2090х2120,18.00,4.431
,45770,ДСП SAVIOLA Artstone/As DB2 Эвкалипт серый,430х470,18.00,0.202
,45770,ДСП SAVIOLA Artstone/As DB2 Эвкалипт серый,910х340,18.00,0.309
,45771,ДСП SAVIOLA Artstone/As DB3 Эвкалипт коричневый,610х440,18.00,0.268
,45771,ДСП SAVIOLA Artstone/As DB3 Эвкалипт коричневый,800х190,18.00,0.152
,45771,ДСП SAVIOLA Artstone/As DB3 Эвкалипт коричневый,170х590,18.00,0.1
,45771,ДСП SAVIOLA Artstone/As DB3 Эвкалипт коричневый,640х590,18.00,0.378
,45771,ДСП SAVIOLA Artstone/As DB3 Эвкалипт коричневый,830х1010,18.00,0.838
,45771,ДСП SAVIOLA Artstone/As DB3 Эвкалипт коричневый,620х570,18.00,0.353
,45771,ДСП SAVIOLA Artstone/As DB3 Эвкалипт коричневый,660х1010,18.00,0.667
,45771,ДСП SAVIOLA Artstone/As DB3 Эвкалипт коричневый,640х240,18.00,0.154
,45771,ДСП SAVIOLA Artstone/As DB3 Эвкалипт коричневый,650х330,18.00,0.215
,45771,ДСП SAVIOLA Artstone/As DB3 Эвкалипт коричневый,640х330,18.00,0.211
,45771,ДСП SAVIOLA Artstone/As DB3 Эвкалипт коричневый,640х440,18.00,0.282
,45771,ДСП SAVIOLA Artstone/As DB3 Эвкалипт коричневый,630х590,18.00,0.372
,45771,ДСП SAVIOLA Artstone/As DB3 Эвкалипт коричневый,640х560,18.00,0.358
,45771,ДСП SAVIOLA Artstone/As DB3 Эвкалипт коричневый,400х1460,18.00,0.584
,45771,ДСП SAVIOLA Artstone/As DB3 Эвкалипт коричневый,640х570,18.00,0.365
,45738,ДСП SAVIOLA Artstone/As TR9 Оксид,540х220,8.00,0.119
,45738,ДСП SAVIOLA Artstone/As TR9 Оксид,230х1440,8.00,0.331
,45772,ДСП SAVIOLA Artstone/As TR9 Оксид,360х590,18.00,0.212
